budgetline,fmsnumber,managingagency,projectid,description,costdescription,citycost,noncitycost,plancommdate
AG-D001,125 D01,125,AGWILLBY,"WiIlougby Senior Center HVAC Upgrade",CONS,"",400,0,06/17
AG-D001,125 D01,125,AGWOODRE1,"Woodside houses new gym for the elderly",CONS,"",65,0,06/18
AG-D001,125 D01,125,HAM14CRSR,"CARVER HOUSES SENIOR CENTER COMPUTER LAB",CONS,"GENERAL",100,0,06/17
AG-D001,125 D01,125,HMFTWASH,"ARC FT WASHINGTON SR. CTR Upgrade and Renovation",CONS,"",210,0,06/17
AG-D001,125 D01,801,AGDRAIN,"FA - Rain Senior Center Renovation",CONS,"",100,0,06/20
AG-D001,125 D01,806,HAMFTWAS,"ARC FT WASHINGTON SR. CTR--VAN(MAN.BP)&FT.WASH(CITY COUNCIL",CONS,"",732,0,06/17
AG-D001,125 D01,806,HAM14MRSR,"MONROE HOUSES SENIOR CENTER RENOVATION",CONS,"GENERAL",500,0,06/17
AG-D001,125 D01,806,HAM14RHSR,"RED HOOK SENIOR CENTER RENOVATION",CONS,"GENERAL",1800,0,06/17
AG-D001,125 D01,806,HAM15JFSR,"JEFFERSON SENIOR CENTER UPGRADE",CONS,"GENERAL",450,0,06/17
AG-D001,125 D01,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",91,0,06/17
AG-D001,125 D01,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1643,0,06/18
AG-D999,125 D99,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",200,0,06/19
AG-D999,125 D99,801,AGDALZEIM,"FA - Alzheimers Foundation of Staten Island",OTHR,"",500,0,06/20
AG-D999,125 D99,850,HEBREW,"Hebrew Home for the Aged at Riverdale Weinberg Center Van",EQVH,"",3,0,06/17
AG-KN779,125 A35,850,AGKNBETHL,"BETHLEHEM EVANGELICAL LUTHERAN CHURCH - PURCHASE OF A BUS",EQVH,"",36,0,06/17
AG-MN235,125 M06,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",50,0,06/17
AG-MN797,125 A40,801,AGDISABE2,"Isabella Geriatric Center - WHSTCH Audio-Visual",CONS,"SITE DEV. AND OFFSITE INF",188,0,06/17
AG-M001,125 M01,125,AGCBCOV,"CARTER BURDEN/LEONARD COVELLO",CONS,"",100,0,06/17
AG-M001,125 M01,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",600,0,06/19
AG-QN100,125 A41,850,AGQNCOUNC,"Chinese-American Planning Center - I/O",EQFN,"",266,0,06/17
AG-QN145,125 Q02,801,AGDELMC,"ELMCOR SENIOR CENTER",CONS,"",1140,0,06/17
AG-QN380,125 Q03,125,AGSNPVH,"Service for Now Adult Person, Inc. Ambulance",EQFN,"",257,0,06/17
AG-QN380,125 Q03,801,AGDSNAP,"Services Now for Adult Persons",CONS,"",35,0,06/17
AG-QN593,125 A16,801,AGDSUNNY,"Sunnyside Community Services - Renovation",CONS,"SITE DEV. AND OFFSITE INF",124,0,06/17
AG-QN593,125 A16,850,AGSUNVEH2,"Sunnyside Community Services Van Purchase",IFSP,"",3,0,06/17
AG-QN663,125 A33,850,AGQNINDIA,"INDIA HOME - MINIBUS FOR TRANSPORTATION",EQVH,"",50,0,06/17
AG-QN663,125 A33,850,AGQNINDIA,"INDIA HOME - MINIBUS FOR TRANSPORTATION",IFSP,"",1,0,06/17
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",92,0,06/17
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",159,0,06/18
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",678,0,06/18
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",333,0,06/19
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",1205,0,06/20
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",1228,0,06/21
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",1253,0,06/22
AG-1,125 100,125,AGVEHICLE,"Vehicles for Senior Centers Citywide",EQVH,"",930,0,06/25
AG-1,125 100,125,CLIENTDAT,"Collect Client Data",EQFN,"COMMUNICATIONS EQUIPMENT",1000,0,06/19
AG-1,125 100,125,CLIENTDAT,"Collect Client Data",EQFN,"COMMUNICATIONS EQUIPMENT",394,0,06/20
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",189,0,06/17
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1300,0,06/19
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",500,0,06/18
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1300,0,06/19
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1000,0,06/19
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1000,0,06/20
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",IFDS,"",4,0,06/17
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",IFSP,"",106,0,06/17
AG-1,125 100,850,AGNYCHANG,"NYCHANGE PROJECT WITH DFTA",IFSP,"",10,0,06/17
AG-1,125 100,856,AG2LAFYT,"2 LAFAYETTE ST.- FLR. 2 FOR DFTA",EQFN,"",272,0,06/17
AG-1,125 100,856,AG2LAFYT,"2 LAFAYETTE ST.- FLR. 2 FOR DFTA",CONS,"",62,0,06/17
AG-2,125 101,125,AG-2CWC,"COMPUTERS FOR SEN CENTERS CITY-WIDE",EQFN,"",763,0,06/19
AG-2,125 101,125,AG-2CWC,"COMPUTERS FOR SEN CENTERS CITY-WIDE",EQFN,"",1482,0,06/18
AG-2,125 101,125,AG-2CWC,"COMPUTERS FOR SEN CENTERS CITY-WIDE",EQFN,"",633,0,06/19
AG-2,125 101,125,AG-2CWCR,"Replacement of Computers for Senior Centers City-wide",EQFN,"",1015,0,06/18
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",365,0,06/17
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",1037,0,06/18
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",763,0,06/19
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",635,0,06/20
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",650,0,06/17
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",500,0,06/18
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",500,0,06/19
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",750,0,06/20
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",SVCS,"SPECIAL TECHNICAL INVESTI",266,0,06/18
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"WATERWAY BRIDGES",570,0,06/17
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"",2,0,07/16
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"",0,150,06/17
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CNSP,"",384,0,06/17
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"WATERWAY BRIDGES",4,0,07/16
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"WATERWAY BRIDGES",0,4084,06/18
BR-156,841 201,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",1000,0,06/17
BR-156,841 201,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"",30500,0,06/17
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",CONS,"GENERAL",82309,2690,06/18
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",CONS,"TRACKS AND RAILS",5714,0,06/18
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",DSGN,"",232,0,06/17
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",CNSP,"",3656,0,06/18
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",IFDS,"",208,0,06/17
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",IFDS,"",600,0,06/17
BR-156,841 201,841,BRC156R,"MANHATTAN BRIDGE #14 (CABLE RE-WRAPPING & SUSPENDER)",IFSP,"",438,0,06/17
BR-231,841 203,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",643,0,06/17
BR-231,841 203,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"",60000,0,06/17
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",CONS,"GENERAL",303478,0,06/18
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",CTGY,"",0,21600,06/17
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",CNSP,"CONSULTANT SUPERVISION OF",11003,0,06/18
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",DSGN,"",643,0,07/16
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",DSGN,"",15817,0,06/18
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",IFDS,"",500,0,06/17
BR-253,841 204,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",1501,0,06/17
BR-253,841 204,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"",10000,0,06/17
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CONS,"",250000,0,06/21
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",DSGN,"",25000,0,06/18
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CNSP,"",25000,0,06/21
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CONS,"TRACKS AND RAILS",3000,0,06/18
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CONS,"TRACKS AND RAILS",5000,0,06/21
BR-270,841 208,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",13000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CNSP,"",4582,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CONS,"WATERWAY BRIDGES",34630,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",SVCS,"",3700,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CONS,"",13000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CONS,"",4630,0,06/17
BR-270,841 208,841,BRC270D,"BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19",CONS,"",250000,0,06/19
BR-270,841 208,841,BRC270D,"BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19",CNSP,"",25000,0,06/18
BR-270,841 208,841,BRC270D,"BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19",DSGN,"",3190,0,06/18
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",CONS,"",21109,0,06/18
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",CNSP,"CONSULTANT SUPERVISION OF",2500,0,06/17
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",SVCS,"SPECIAL TECHNICAL INVESTI",1400,0,06/17
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",DSGN,"",700,0,06/17
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",25000,0,06/22
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",50000,0,06/23
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",50000,0,06/24
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",50000,0,06/25
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",51550,0,06/26
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",53148,0,06/27
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CONS,"",4276,0,06/17
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CONS,"GENERAL",0,4987,06/18
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CNSP,"CONSULTANT SUPERVISION OF",261,0,06/17
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CNSP,"",931,0,06/19
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",SVCS,"SPECIAL TECHNICAL INVESTI",447,0,06/17
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",SVCS,"SPECIAL TECHNICAL INVESTI",1000,0,06/18
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",IFSP,"",625,0,06/17
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",CONS,"",6897,0,06/17
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",IFSP,"",30,0,07/16
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",IFSP,"",30,0,06/17
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",CTGY,"",30,0,06/17
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"PLUMBING",128,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"",588,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"",12,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"",2,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CNSP,"",104,0,12/16
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500,0,06/18
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500,0,06/19
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",2298,0,10/16
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500,0,06/20
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500,0,06/21
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",861,0,06/24
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",1087,0,07/24
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",1405,0,07/25
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",1861,0,06/27
C-75,072 202,072,C-101WEST,"RI WEST PERIMETER EXTERIOR FENCING REPLACEMENT",CONS,"",5102,0,06/17
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",2169,0,07/16
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",1415,0,07/17
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",7000,0,01/19
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",5000,0,01/20
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",21982,0,06/21
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",43134,0,06/22
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",44189,0,06/23
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",23197,0,06/24
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",24934,0,06/25
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",20392,0,06/26
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",17009,0,06/27
C-75,072 202,072,C75-BAKE,"REPLACEMENT OF BAKERY EQUIPMENT FY09/10",EQFN,"",158,0,07/16
C-75,072 202,072,C75-CHILL,"VCBC CHILLER",CONS,"",75,0,06/17
C-75,072 202,072,C75-CHILL,"VCBC CHILLER",IFSP,"",20,0,06/17
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",1000,0,06/17
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",5500,0,06/18
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",5000,0,07/20
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",500,0,06/19
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",1500,0,07/19
C-75,072 202,072,C75-F&ECR,"F & E PURCHASE FOR CAPACITY REPLACEMENT PROJECTS",EQFN,"",2000,0,07/18
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CONS,"",1000,0,01/19
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CONS,"",1000,0,01/21
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",IFSP,"",50,0,01/19
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CTGY,"",50,0,01/19
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",IFSP,"",50,0,01/21
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CTGY,"",50,0,01/21
C-75,072 202,072,C75-ION,"PURCHASE OF ION SCANNERS FOR DRUG INTERDICTION PROGRAM",EQFN,"",300,0,07/18
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",DSGN,"",500,0,07/16
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",CONS,"",4725,0,06/18
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",IFSP,"",450,0,06/17
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",IFSP,"",22,0,06/18
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CONS,"",3000,0,07/19
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CONS,"",5000,0,06/18
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CONS,"",5000,0,06/21
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",IFSP,"",5,0,06/18
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CTGY,"",5,0,06/17
C-75,072 202,072,C75ADACOM,"ADA COMPLIANCE FOR NIC, CENTRAL VISITS, FACILITY VISIT AREA",DSGN,"",3374,0,06/17
C-75,072 202,072,C75ADACOM,"ADA COMPLIANCE FOR NIC, CENTRAL VISITS, FACILITY VISIT AREA",CONS,"",30364,0,06/18
C-75,072 202,072,C75AKATC,"Replacement of Chillers at AMKC Mod 1",CONS,"",3810,0,06/17
C-75,072 202,072,C75AKATC,"Replacement of Chillers at AMKC Mod 1",IFDS,"",40,0,07/16
C-75,072 202,072,C75AKATC,"Replacement of Chillers at AMKC Mod 1",IFSP,"",381,0,07/16
C-75,072 202,072,C75AKATC,"Replacement of Chillers at AMKC Mod 1",IFSP,"",250,0,07/17
C-75,072 202,072,C75AMCLR,"AMKC - Renovations for Classrooms and Programs - Adult",DSGN,"",800,0,06/17
C-75,072 202,072,C75AMCLR,"AMKC - Renovations for Classrooms and Programs - Adult",IFDS,"",80,0,06/17
