managingagency,projectid,description,citycost,noncitycost,totalcost
827,S1292018,Equipment replacement in FY 2018,167490000,0,167490000
841,HBKBQE,Rehabilitation of BQE (I-278) from Sands St. to Atlantic A,167405000,0,167405000
841,HW2CR06,CITYWIDE MILLING,161520000,5500000,167020000
826,CAT-431,CATSKILL AQUEDUCT RECONST.-KENSICO TO HILVIEW,164960000,0,164960000
827,S1292024,Equipment Replacement in FY 2024,164487000,0,164487000
827,S1292023,EQUIPMENT REPLACEMENT FY 2023,161174000,0,161174000
827,S1292022,EQUIPMENT REPLACEMENT FY 2022,158443000,0,158443000
826,DOT-SE-SP,SEWER REPLACEMENTS IN CONJUNCTION WITH DOT PRIORITY PROJE,158177000,0,158177000
827,S1292017,Equipment Replacement in FY 2017,157079000,0,157079000
826,CRO-208B,NEW CROTON DAM RECONSTRUCTION,156000000,0,156000000
827,S1292021,EQUIPMENT REPLACEMENT IN FY 2021,155790000,0,155790000
56,PO79-BMS,BMS PROJECTS,155075000,0,155075000
846,P-2GPWB26,GPWB- CitiStorage Acquisition,155000000,0,155000000
57,SANDERSBX,HURRICANE SANDY ALARM BOX NETWORK,15349000,138136000,153485000
827,S1292020,EQUIPMENT REPLACEMENT IN FY 2020,151999000,0,151999000
850,LNCLPCN13,Midtown Campus Project,151098000,0,151098000
801,LIFESCIEN,LIFE SCIENCES HUB,150000000,0,150000000
826,JOC-OUTYR,JOB ORDER CONTRACTING PROGRAM CITYWIDE AT VAR. WPCPS,150000000,0,150000000
827,S1292019,Equipment Replacement in FY 2019,149718000,0,149718000
827,S186-224,BROOKLYN 3 GARAGE,149413000,0,149413000
841,HBCR00,COMP REHAB CONST,100000000,45000000,145000000
806,ELLA27,Extremely Low & Low Income - ELLA FY27,144809000,0,144809000
850,CJCREN,FACIILITY RENOVATIONS AT CROSSROADS JC,143610000,0,143610000
826,EE-RRC,TRC - RESIDUAL CHLORINE REDUCTION PROGRAM,143284000,0,143284000
841,HBM1120B,11TH AVENUE VIADUCT NORTH SECTION - 33 ST to 35 ST #2245010,65800000,76576000,142376000
806,EDPC,OUTYEARS COMPUTER LUMP SUM,142081000,0,142081000
841,HBBA06672,EAST 174TH ST/SHERIDAN EXPWY AMTRAK BIN# 2066720,141154000,0,141154000
806,ELLA26,Extremely Low & Low Income - ELLA FY26,140455000,0,140455000
806,ELLA19,Extremely Low & Low Income Affordability Program - ELLA FY19,140103000,0,140103000
841,HBM1165,RIVERSIDE DRIVE BR/WEST 158TH 2-24672-0,101078000,36469000,137547000
819,SANDDR,HHC Sandy CDBG-DR Match,137000000,0,137000000
806,ELLA25,Extremely Low & Low Income Affordability Program - ELLA FY25,136232000,0,136232000
850,S234-367A,Staten Island 1 and 3 Garage Construction,133634000,0,133634000
806,ELLA24,Extremely Low & Low Income Affordability Program - ELLA FY24,133561000,0,133561000
806,ELLA23,Extremely Low & Low Income Affordability Program - ELLA FY23,130942000,0,130942000
806,ELLA20,Extremely Low & Low Income Affordability Program - ELLA FY20,130364000,0,130364000
806,ELLA18,Extremely Low & Low Income Affordability Program - ELLA FY18,130337000,0,130337000
806,ELLA22,Extremely Low & Low Income Affordability Program - ELLA FY22,128374000,0,128374000
826,SE-BB2,LAND ACQUISITION in 2nd S.I. Bluebelt Area,127962000,0,127962000
826,CSO-GC,FLUSHING TUNNEL REACTIVATION & GOWANUS CANAL FORCE MAIN,127604000,0,127604000
806,MXMT17,Mixed Income Program - Mix & Match FY17,126148000,0,126148000
806,ELLA21,Extremely Low & Low Income Affordability Program - ELLA FY21,125857000,0,125857000
806,MXMT19,Mixed Income Program - Mix & Match FY19,125570000,0,125570000
850,P-415PAS3,FMCP-PASSERELLE BRIDGE - Q099,125113000,0,125113000
801,CONEYWEST,Coney Island West,123250000,0,123250000
826,CSO-HR-DF,CSO HUTCHINSON RIVER OUTFALL & DISINFECTION,123000000,0,123000000
826,JOC-17-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",121700000,0,121700000
846,SANDYRHMP,SANDY- HMP,0,120518000,120518000
841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",110364000,10000000,120364000
858,DOITECTP,Emergency Communications Systems & Facilities,119209000,0,119209000
846,P-6CW933C,PURCHASE OF VEHICLES & EQUIPMENT FOR USE BY DPR,118995000,0,118995000
841,BRCHAZMIG,HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE),116644000,0,116644000
826,JOC-26-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",115000000,0,115000000
856,TYP-LL5,LOCAL LAW 5 FIRE SUPPRESSION,114828000,0,114828000
826,UTIUTIL,UTILITY RELOCATION FOR SE AND WM PROJECTS,113870000,0,113870000
57,F175MULTI,MUTIPLE COMPONENT RENOVATIONS,112852000,0,112852000
57,F109-IE,INITIAL EQUIPMENT FOR EMERGENCY RESPONSE VEHICLES,112703000,0,112703000
806,MXMT18,Mixed Income Program - Mix & Match FY18,110146000,0,110146000
57,F109-RM,REAR MOUNTS,109198000,0,109198000
841,SLMNTLUMP,CAPITAL COMPONENT STREETLIGHT MAINTENANCE (TEN YR PLAN),288000,108000000,108288000
819,02201601,HHC PRIMARY HEALTH CLINICS,106642000,0,106642000
72,C114RNDC1,Construct of 400 Cell Addition at RNDC/Replace 800 Bed Mod,106600000,0,106600000
801,SANDYNYA,WCS - New York Aquarium Sandy Renovation,12355000,93273000,105628000
841,HBK548,21ST AVE RR BR & 64TH ST #2-24382-1/TN35190,104183000,0,104183000
826,CAT-252,REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,102952000,0,102952000
801,RAISESHOR,Raise Shorelines,102000000,0,102000000
850,CS-ER-WCP,PARALLEL SEWER-REDUCE CSO DISCHARGE FROM PUGSLEY CREEK,101642000,0,101642000
826,IN-CITYAC,Agency Proposed Accelerated Projects,100198000,0,100198000
801,SANDRDHK,Red Hook HMGP,50000000,50000000,100000000
39,LQRECONS,SYSTEMWIDE - Renovations/New Construction/Expansions,100000000,0,100000000
856,SANDCAFOP,FLOOD PROTECTION,100000000,0,100000000
126,SANDYAQM2,WCS - New York Aquarium (Sandy),10000000,90000000,100000000
38,LBINSPIRE,BPL BRANCH MODERNIZATION PROGRAM,100000000,0,100000000
850,HWQ1190A,Reconstruction of Queens Blvd Phase 1,77593000,19624000,97217000
850,SE-807,STORM & SAN SEWERS IN 20TH AVE B/T126 ST & US BULKHEAD L,95750000,0,95750000
856,RE25WATR,WATERFRONT RESILIENCY MEASURES,95700000,0,95700000
841,BRC156F,MANHATTAN BRIDGE #15,92719000,2690000,95409000
826,FAD-LAND,FAD - Holding code for Land Acquisition in the West of,94190000,0,94190000
841,HBK1201,ATLANTIC AVENUE/LIRR ATLANTIC AVENUE 2-243569,29198000,62113000,91311000
801,ROCKINFRA,Rockaways Infrastructure Improvements,91000000,0,91000000
826,JOC-22-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",89280000,0,89280000
841,HWCW-SOGR,Citywide Streets - 30-Year State of Good Repair,89023000,0,89023000
846,P-3HRD155,HARLEM RIVER DRIVE 155TH-DYCKMAN,88246000,0,88246000
111,PO46-24O,NYPD EOL CORE RADIO INFRASTRUCTURE UPGRADES,88000000,0,88000000
841,HBM8650,REHAB FDR NORTHBOUND FROM EAST 42-49TH ST BIN: 2268650,86725000,0,86725000
826,JOC-20-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",86594000,0,86594000
801,BATBEYOND,BAT New Needs,86375000,0,86375000
841,HBQ1114,HEMPSTEAD AVE BR/CIP 2231780,49861000,36237000,86098000
827,S136-439,"DSNY FACILITY REHAB, CITYWIDE",86009000,0,86009000
826,WI-279-L,INSTALLATION OF EMERGENCY GENERATORS AT WARDS ISAND WPCP,85000000,0,85000000
806,HAM16FACD,BUILDING FACADES,85000000,0,85000000
856,PW326OEM3,OEM Expansion of Leased Space 930 Flushing Avenue,85000000,0,85000000
801,CWFSFERY2,CITYWIDE FERRY SERVICE - NEW VESSEL PURCHASE,84400000,0,84400000
826,EE-PEDS,PROFESSIONAL ENGINEERING AND DESIGN SERVICES,83279000,0,83279000
826,PS-276,RECONSTRUCTION AT HANNAH STREET PUMPING STATION (BEDC),83000000,0,83000000
801,HOMEPORT2,Stapleton Waterfront Phase II & III,82186000,0,82186000
826,CONEYWEST,"STRM & SAN SWR, TRUNK & DIST WM IN CONEY IS. PH3B",82050000,0,82050000
826,DOT-SEQBO,"DOT TASK FORCE PRIORITY PROJECTS, SE QUEENS",82000000,0,82000000
850,HWQ1190B,Reconstruction of Queens Blvd Phase 2,52360000,29624000,81984000
846,P-6TREESA,TREES - CITYWIDE,81982000,0,81982000
111,PU16APRO1,FISA'S EDP Projects - Outyear Funds,81317000,0,81317000
841,HBQ49AV,"49TH AVE OVER LIRR, AMT, CON NE (BIN2247290)",81252000,0,81252000
826,EE-DSGN,DESIGN & DESIGN SERVICES DURING CONSTRUCTION,80990000,0,80990000
856,CO264BKCV,OCA- RELOCATION FROM 141 LIVINGSTON ST. TO 210 JORALEMON,80499000,0,80499000
841,HBMF26771,79TH ST TRAFFIC CIRCLE OVER 79TH ST PED PLAZA BIN 2267718,80162000,0,80162000
801,BNYINF-WF,BNYDC Infrastructure Waterfront,80157000,0,80157000
72,C114GRVC2,300 Cell Addition At GRVC - Replace 500 Bed Wood Modular,80100000,0,80100000
850,HWCSCH3C,SAFE ROUTES TO SCHOOLS-94 SCHOOLS,77972000,1868000,79840000
826,JRAQ-REH,JEROME RESERVOIR & AQUEDUCT REHABILITATION,78500000,0,78500000
846,P-6CWFALM,NATURE CTRS AND REC CTRS-FIRE ALARMS AND LIFE SAFETY,78140000,0,78140000
806,PLP27,Participation Loan Program FY27,78065000,0,78065000
826,DEP-DRA,DELAWARE-RONDOUT AQUEDUCT (PARALLEL TUNNEL TO RWBT),76675000,0,76675000
846,P-6CPIPH2,Community Parks Initiative (CPI),76455000,0,76455000
111,PO46-6A,PORT RAD ALL BOROS,76431000,0,76431000
826,SE-824,South-East Queens Laurelton Area Part 1 Phase B,76008000,0,76008000
826,CAT-212,SCHOHARIE RESERVOIR/GILBOA DAM AND INTAKE/OUTLET CHAMBER,75940000,0,75940000
806,PLP26,Participation Loan Program FY26,75718000,0,75718000
846,P-6TREES,TREES - CITYWIDE,75201000,0,75201000
806,ELLA17,Extremely Low & Low Income Affordability Program - ELLA FY,74950000,0,74950000
841,BUS2030,BUS INITIATIVES,70951000,3047000,73998000
806,PLP25,Participation Loan Program FY25,73441000,0,73441000
826,SE-825,South-East Queens Laurelton Area Part 1 Phase C,73285000,0,73285000
850,QED-991,"New WM, trunk main ext, 33 ave & Francis lewis Blvd, Qns",71745000,636000,72381000
841,FACLUMP,LUMP SUM FOR FACILITIES,68216000,4050000,72266000
819,SAND11E,BELLEVUE RECONSTRUCTION AS A RESULT OF SANDY - CATEGORY E,0,72003000,72003000
806,PLP24,Participation Loan Program FY24,72001000,0,72001000
841,HBM1189,WEST 79TH STREET/ AMTRAK (7 BIN#'S),29447000,41956000,71403000
806,PLP23,Participation Loan Program FY23,70589000,0,70589000
801,PV034SCED,AMNH - Science & Education Innovation Center Bldg. 17,70100000,0,70100000
826,JOC-18-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",70080000,0,70080000
111,BROADBAND,Broadband Initiative,70000000,0,70000000
56,PO002-116,NEW 116TH PCT,70000000,0,70000000
806,CBXASSOC,Associated Costs - CBX,69828000,0,69828000
806,PLP22,Participation Loan Program FY22,69205000,0,69205000
801,ACQFUND,Acquistion Fund,68500000,0,68500000
806,8ALC27,HOUSING REH (HRP) / (formerly 8A) LOAN PROGRAM,68429000,0,68429000
806,PLP21,Participation Loan Program FY21,67848000,0,67848000
826,JOC-BWS,BWS JOC Contracts (E-O-H & W-O-H),67760000,0,67760000
841,HBQA24750,METROPOLITAN AVE OVER CSX TRANSPORT,67602000,0,67602000
856,PW-RLS,RENOVATION OF LEASED SPACE,67573000,0,67573000
850,SE-810,"STORM & SAN SWR, WILLET PT BLVD WHITESTONE AREA PHASE 2",66735000,0,66735000
806,8ALC26,HOUSING REHABILITATION (HRP) / (formerly 8A) LOAN PROGRAM,66371000,0,66371000
841,HBQ8019,REHAB WOODHAVEN BLVD BIN 2248019,66077000,0,66077000
72,C138FSPH2,Fire Life Safety Phase II,66047000,0,66047000
850,PO141-40P,NEW 40TH PRECINCT,65637000,0,65637000
841,HBX156,E 156TH ST BRIDGE OVER ACCESS TO HOUSING (BIN 2270030),65500000,0,65500000
841,HBX1190,GRAND CONCOURSE / METRO NORTH RR HUD2-24140-9,65398000,0,65398000
850,HBPED800Q,PED BRIDGE - PORPOISE BRIDGE AND TIDE GATE,65275000,0,65275000
801,HUNTMEAT2,Hunts Point Meat Market 2,65000000,0,65000000
826,JOC-27-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",65000000,0,65000000
806,8ALC25,Article 8A Loan Program - FY25,64375000,0,64375000
826,PS-326,INSTALLATION OF SE JAMAICA PUMPING STATION,64000000,0,64000000
806,SENIOR17,HUD Section 202 Housing - Supplemental Funding,32595000,31396000,63991000
850,QED-976,TRUNK MAIN IN FRANCIS LEWIS BLVD - 90 AV TO 99 AV,63107000,99000,63206000
806,8ALC24,Article 8A Loan Program - FY24,63112000,0,63112000
801,WILLETURA,FA - Willets Point Urban Renewal Area- Subgrade Improvements,62799000,0,62799000
806,8ALC20,Article 8A Loan Program - FY20,62425000,0,62425000
806,MMI18,Mixed Middle Income M2 FY18,62015000,0,62015000
806,8ALC23,Article 8A Loan Program - FY23,61875000,0,61875000
841,TFMARKLMP,THERMOPLASTIC MARKINGS-TEN YEARS,61056000,0,61056000
841,HBMFDNY20,FDNY/NFPA CODE UPDATE HHP VARIOUS AND PARK AVE TUNNEL,61000000,0,61000000
841,HWQWILLET,Willets Point - Van Wyck Improvements,61000000,0,61000000
850,HWXP136C,Grand Concourse Phase 4,49101000,11867000,60968000
806,LIHTC18,LIHTC Year 15 Preservation Program FY18,60705000,0,60705000
806,8ALC22,Article 8A Loan Program - FY22,60662000,0,60662000
841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",60542000,0,60542000
841,HBC10YR20,BRIDGE 10 YEAR PLAN FY 2020,60070000,0,60070000
841,HWRAP07,RAP HAULING,60043000,0,60043000
841,TRNCHREST,Trench Restoration,60000000,0,60000000
846,SANDEASTS,CITY WIDE RESILIENCY MEASURES - EAST SHORE SI COASTAL PROTE,60000000,0,60000000
826,PR-135-L,RECONSTRUCT POWER DISTRIBUTION EQUIPMENT @ PORT RICHMOND,59790000,0,59790000
56,PO79LOCK,CITYWIDE LOCKER ROOM RENOVATION,59699000,0,59699000
111,PO46-24,REPLACE RADIO SYSTEM,59599000,0,59599000
806,8ALC21,Article 8A Loan Program - FY21,59472000,0,59472000
801,BNYINF-BD,BNYDC Infrastructure Building Rehab,59272000,0,59272000
841,HWTSQI,Public Plaza Improvements,58882000,0,58882000
850,HED-CLUB,CROTON FILTRATION PLANT - DPR CLUBHOUSE TEEBOXES PARKIN,58803000,0,58803000
850,SE-811,"STORM & SAN SWR, N.B. WHITESTONE EXPWY SERV RD PHASE 3",58532000,0,58532000
841,HBK530,PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0,58394000,0,58394000
826,WEC-LGE16,"LARGE WATER METER PURCHASES, REPLACEMENTS AND INSTALLATIO",58244000,0,58244000
841,HBM1172,HENRY HUDSON PKWY 72ND ST VIADUCT 2-22928-9,58012000,0,58012000
57,F109-TL75,TOWER LADDERS - 75 FOOT,57860000,0,57860000
846,P-301WHAR,BATTERY WHARF,57858000,0,57858000
826,HP-237-L,INSTALLATION OF CENTRIFUGES AT HUNTS POINT WPCP,57398000,0,57398000
826,HED-545,CROTON FILTRATION PLANT,57325000,0,57325000
826,WI-292-L,RECONSTRUCTION OF POWER DISTRIBUTION @ THE WARDS ISLAND WWT,56798000,0,56798000
126,PV467-EMR,DCA - EMERGENCY CAPITAL FUND FOR DCA,56126000,0,56126000
806,MXMT20,Mixed Income Program - Mix & Match FY20,55862000,0,55862000
841,HW200IFA2,In-House Pedestrian Ramp Rehabilitation - OTPS,55681000,0,55681000
826,SE-860,"Combined Swr Replac & WM work 71st, QNS",55646000,0,55646000
841,HBX1127,RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY 2-07584-9,55556000,0,55556000
846,P-6CW1250,"BOILERS RECONSTRUCTION,CITYWIDE",55477000,0,55477000
806,SENIOR19,HUD Section 202 Housing - Supplemental Funding,49259000,5000000,54259000
841,HBX1460,WEST TREMONT AVENUE OVER METRO NORTH RR BIN:2241460,53991000,0,53991000
850,SE-812,Sanitary & Storm swr in Page Av b/t Amboy Rd & Estella Pl,53846000,49000,53895000
850,SE-842A,"STRM, SAN SWRS & WM IN 225 ST & 149 AV, QNS",53281000,0,53281000
841,HBMA22934,RAMP TO NB HHP OVER AMTRAK WEST SIDE BIN 222934A,53051000,0,53051000
806,ANCP20,AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM - ANCP,52325000,0,52325000
806,MXMT27,MIXED & MATCH PROGRAM FY27,52292000,0,52292000
850,S216-404A,GANSEVOORT MARINE TRANSFER STATION,52128000,0,52128000
998,REVRAPD95,RAPID TRANSIT REVOLVING FUND,52000000,0,52000000
806,TPT18,HOUSING PRESERVATION PROGRAM (TPT),51894000,0,51894000
850,HWX710A,PELHAM PKWY-WEST & EAST AND NORTH & SOUTH BOUNDS (PHASE A),51834000,0,51834000
856,PW324OMIS,DCAS IT LUMP SUM,51698000,0,51698000
806,TPT20,Third Party Transfer Program (TPT) - FY20,51613000,0,51613000
806,PLP20,Participation Loan Program FY20,51217000,0,51217000
856,SANDCRM,CITY WIDE RESILIENCY MEASURES,51200000,0,51200000
850,SE-853,"HLSS, Strm, San & Comb Swrs, & WM Fresh Creek Basin ,Ph",51108000,0,51108000
850,CONISPH2B,"SAN & STRM SWR, WM1, WM6 IN CONEY ISL AREA, PH 2B",50729000,167000,50896000
846,SANDY6-16,For Flushing Meadow Conduit,5089000,45805000,50894000
806,MXMT26,MIXED & MATCH PROGRAM FY26,50831000,0,50831000
72,SANDSHORE,Hurricane Sandy- RI NShoreline Reconstruct from Storm Damag,4716000,45690000,50406000
806,TPT27,THIRD PARTY TRANSFER PROGRAM FY27,50397000,0,50397000
846,P-206RHBS,Red Hook Track 1/Soccer 3 & Ballfields 1-4,50380000,0,50380000
856,PW322PLA3,345 ADAMS ST. RESTACK,50299000,0,50299000
841,HWQ1190,Reconstruction of Queens Blvd,50130000,0,50130000
826,QED-1040,Select Bus Services Woodhaven Blvd w/HWQ100SBS,50000000,0,50000000
57,F1RADIO15,RADIOS,50000000,0,50000000
846,P-5SIPOOL,STATEN ISLAND INDOOR POOL,50000000,0,50000000
826,WFINSP-SP,CITYWIDE WATERFRONT INSPECTIONS AT VARIOUS WPCPS,49948000,0,49948000
841,HBX1103,CONCOURSE VLGE AVE/ M-N 2-24159-0,49739000,0,49739000
806,MXMT25,Mixed Income Program - Mix & Match FY25,49414000,0,49414000
846,P-6CWSSPE,REQUIREMENTS CONTRACTS- CITYWIDE,48966000,0,48966000
806,TPT26,THIRD PARTY TRANSFER PROGRAM FY26,48882000,0,48882000
841,HBKA23036,UNION ST OVER 278I BQE BIN 2230360,48807000,0,48807000
806,MXMT24,Mixed Income Program - Mix & Match FY24,48518000,0,48518000
841,HBKA23143,Belt Shore Pkwy over Nostrand Ave 2231439,15327000,33141000,48468000
96,HR120RNG2,Re-engineering Hardware and Software Phase 2,35715000,12675000,48390000
826,TI-167-L,RECONSTRUCTION OF SEAWALL/DOCK @ TALLMAN ISLAND WPCP,48325000,0,48325000
841,HBX644S,MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM,15646000,32636000,48282000
841,HBK1213,"RECON UNION ST BRIDGE OVER GOWANUS CANAL, BROOKLYN 2-2",48246000,0,48246000
856,TYP-INT,VARIOUS PUBLIC BUILDINGS - INTERIOR REHAB,48208000,0,48208000
806,LIHTC27,Low Income Housing Tax Credit Year 15 Program - FY27,48205000,0,48205000
826,TI-STAB,STABILIZATION OF THE TALLMANS' ISLAND WPCP,48136000,0,48136000
826,JA-179-L,INSTALLATION OF EMERGENCY GENERATORS AT JAMAICA WPCP,47880000,0,47880000
850,MIBBNC005,BMP 13 and 14 Storm and Sanitary Sewer construction,47740000,0,47740000
826,OB-135-L,HEADWORKS AT OAKWOOD BEACH WPCP,47730000,0,47730000
