budgetline,fmsnumber,managingagency,projectid,description,commitmentcode,commitmentdescription,citycost,noncitycost,plancommdate
AG-DN380,125 A26,801,AGDSNAP3,"SERVICES NOW FOR ADULT PERSONS INC.",CONS,"SITE DEV. AND OFFSITE INF",513000,0,06/17
AG-DN380,125 A26,850,AGSNAPBP,"SNAP Building Project",CONS,"",118000,0,06/17
AG-DN410,125 A18,801,AGDSAGE,"FA - Sage Senior Center",CONS,"",73000,0,06/20
AG-DN494,125 A01,850,AGDNPARKE,"Parker Jewish Institute for Health Care & Rehab",EQFN,"",137000,0,06/17
AG-DN494,125 A01,850,AGDNPARKE,"Parker Jewish Institute for Health Care & Rehab",IFSP,"",3000,0,06/17
AG-DN494,125 A01,850,PARKER,"Parker Jewish Institute, Queens",CONS,"GENERAL",500000,0,06/19
AG-DN593,125 A28,801,AGDSUNNY,"Sunnyside Community Services - Renovation",CONS,"SITE DEV. AND OFFSITE INF",2587000,0,06/17
AG-DN658,125 A31,125,AGHAMVEH,"Hamilton Madison Transportation Vehicles",EQFN,"",54000,0,06/17
AG-DN770,125 A34,125,AGRIVERVE,"Riverside Senior Service Transporation Bus",EQFN,"",4000,0,06/17
AG-DN797,125 A36,801,AGDISABEL,"Isabella Geriatric Center - Assembly and telecommunications",CONS,"SITE DEV. AND OFFSITE INF",19000,0,06/17
AG-DN797,125 A36,801,AGDISABE2,"Isabella Geriatric Center - WHSTCH Audio-Visual",CONS,"SITE DEV. AND OFFSITE INF",184000,0,06/17
AG-DN798,125 A37,850,AGDNSERVC,"SERVICE PROGRAM FOR OLDER PEOPLE INC - TECHNOLOGY SUPPORT",IFSP,"",4000,0,06/17
AG-DN837,125 A38,125,AGDAMICO,"AMICO Senior Center Computer Upgrade",EQFN,"",50000,0,06/17
AG-DN865,125 A46,801,AGDCSBA,"CONSELYEA STREET BLOCK ASSOCIATION",CONS,"SITE DEV. AND OFFSITE INF",3000000,0,06/17
AG-DN865,125 A46,801,AGDCSBA,"CONSELYEA STREET BLOCK ASSOCIATION",CONS,"SITE DEV. AND OFFSITE INF",500000,0,07/17
AG-DN895,125 A42,850,AGDNJACOB,"Jacob A. Riis Neighborhood Settlement - Vehicle Purchas",EQVH,"",65000,0,06/17
AG-DN932,125 A44,801,ABDWOOD,"WOODSTOCK HDFC FOR SENIOR CITIZENS",CONS,"SITE DEV. AND OFFSITE INF",513000,0,06/17
AG-DN950,125 A45,125,AGBAYRIDG,"Bayridge Center Purchase of wheelchair accessible mini van",EQVH,"",62000,0,06/17
AG-D001,125 D01,125,AGAPHIVEH,"Van for Seniors",EQVH,"",50000,0,06/17
AG-D001,125 D01,125,AGCBURDEN,"LEONARD COVELLO Kitchen Renovation",CONS,"",400000,0,06/17
AG-D001,125 D01,125,AGWILLBY,"WiIlougby Senior Center HVAC Upgrade",CONS,"",400000,0,06/17
AG-D001,125 D01,125,AGWOODRE1,"Woodside houses new gym for the elderly",CONS,"",65000,0,06/18
AG-D001,125 D01,125,HAM14CRSR,"CARVER HOUSES SENIOR CENTER COMPUTER LAB",CONS,"GENERAL",100000,0,06/17
AG-D001,125 D01,125,HMFTWASH,"ARC FT WASHINGTON SR. CTR Upgrade and Renovation",CONS,"",210000,0,06/17
AG-D001,125 D01,801,AGDRAIN,"FA - Rain Senior Center Renovation",CONS,"",100000,0,06/20
AG-D001,125 D01,806,HAMFTWAS,"ARC FT WASHINGTON SR. CTR--VAN(MAN.BP)&FT.WASH(CITY COUNCIL",CONS,"",732000,0,06/17
AG-D001,125 D01,806,HAM14MRSR,"MONROE HOUSES SENIOR CENTER RENOVATION",CONS,"GENERAL",500000,0,06/17
AG-D001,125 D01,806,HAM14RHSR,"RED HOOK SENIOR CENTER RENOVATION",CONS,"GENERAL",1800000,0,06/17
AG-D001,125 D01,806,HAM15JFSR,"JEFFERSON SENIOR CENTER UPGRADE",CONS,"GENERAL",450000,0,06/17
AG-D001,125 D01,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",91000,0,06/17
AG-D001,125 D01,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1643000,0,06/18
AG-D999,125 D99,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",200000,0,06/19
AG-D999,125 D99,801,AGDALZEIM,"FA - Alzheimers Foundation of Staten Island",OTHR,"",500000,0,06/20
AG-D999,125 D99,850,HEBREW,"Hebrew Home for the Aged at Riverdale Weinberg Center Van",EQVH,"",3000,0,06/17
AG-KN779,125 A35,850,AGKNBETHL,"BETHLEHEM EVANGELICAL LUTHERAN CHURCH - PURCHASE OF A BUS",EQVH,"",36000,0,06/17
AG-MN235,125 M06,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",50000,0,06/17
AG-MN797,125 A40,801,AGDISABE2,"Isabella Geriatric Center - WHSTCH Audio-Visual",CONS,"SITE DEV. AND OFFSITE INF",188000,0,06/17
AG-M001,125 M01,125,AGCBCOV,"CARTER BURDEN/LEONARD COVELLO",CONS,"",100000,0,06/17
AG-M001,125 M01,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",600000,0,06/19
AG-QN100,125 A41,850,AGQNCOUNC,"Chinese-American Planning Center - I/O",EQFN,"",266000,0,06/17
AG-QN145,125 Q02,801,AGDELMC,"ELMCOR SENIOR CENTER",CONS,"",1140000,0,06/17
AG-QN380,125 Q03,125,AGSNPVH,"Service for Now Adult Person, Inc. Ambulance",EQFN,"",257000,0,06/17
AG-QN380,125 Q03,801,AGDSNAP,"Services Now for Adult Persons",CONS,"",35000,0,06/17
AG-QN593,125 A16,801,AGDSUNNY,"Sunnyside Community Services - Renovation",CONS,"SITE DEV. AND OFFSITE INF",124000,0,06/17
AG-QN593,125 A16,850,AGSUNVEH2,"Sunnyside Community Services Van Purchase",IFSP,"",3000,0,06/17
AG-QN663,125 A33,850,AGQNINDIA,"INDIA HOME - MINIBUS FOR TRANSPORTATION",EQVH,"",50000,0,06/17
AG-QN663,125 A33,850,AGQNINDIA,"INDIA HOME - MINIBUS FOR TRANSPORTATION",IFSP,"",1000,0,06/17
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",92000,0,06/17
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",159000,0,06/18
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",678000,0,06/18
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",333000,0,06/19
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",1205000,0,06/20
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",1228000,0,06/21
AG-1,125 100,125,AGVARSRCT,"REHABILITATION OF VARIOUS SENIOR CENTERS",EQFN,"",1253000,0,06/22
AG-1,125 100,125,AGVEHICLE,"Vehicles for Senior Centers Citywide",EQVH,"",930000,0,06/25
AG-1,125 100,125,CLIENTDAT,"Collect Client Data",EQFN,"COMMUNICATIONS EQUIPMENT",1000000,0,06/19
AG-1,125 100,125,CLIENTDAT,"Collect Client Data",EQFN,"COMMUNICATIONS EQUIPMENT",394000,0,06/20
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",189000,0,06/17
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1300000,0,06/19
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",500000,0,06/18
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1300000,0,06/19
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1000000,0,06/19
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",CONS,"",1000000,0,06/20
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",IFDS,"",4000,0,06/17
AG-1,125 100,850,AGCOVELLO,"LEONARD COVELLO",IFSP,"",106000,0,06/17
AG-1,125 100,850,AGNYCHANG,"NYCHANGE PROJECT WITH DFTA",IFSP,"",10000,0,06/17
AG-1,125 100,856,AG2LAFYT,"2 LAFAYETTE ST.- FLR. 2 FOR DFTA",EQFN,"",272000,0,06/17
AG-1,125 100,856,AG2LAFYT,"2 LAFAYETTE ST.- FLR. 2 FOR DFTA",CONS,"",62000,0,06/17
AG-2,125 101,125,AG-2CWC,"COMPUTERS FOR SEN CENTERS CITY-WIDE",EQFN,"",763000,0,06/19
AG-2,125 101,125,AG-2CWC,"COMPUTERS FOR SEN CENTERS CITY-WIDE",EQFN,"",1482000,0,06/18
AG-2,125 101,125,AG-2CWC,"COMPUTERS FOR SEN CENTERS CITY-WIDE",EQFN,"",633000,0,06/19
AG-2,125 101,125,AG-2CWCR,"Replacement of Computers for Senior Centers City-wide",EQFN,"",1015000,0,06/18
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",365000,0,06/17
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",1037000,0,06/18
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",763000,0,06/19
AG-2,125 101,125,AGINGVEHS,"Citywide Vehicles for Senior Services",EQFN,"",635000,0,06/20
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",650000,0,06/17
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",500000,0,06/18
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",500000,0,06/19
AG-2,125 101,125,AGUPGRADE,"Aging Computer Upgrade",EQFN,"",750000,0,06/20
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",SVCS,"SPECIAL TECHNICAL INVESTI",266000,0,06/18
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"WATERWAY BRIDGES",570000,0,06/17
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"",2000,0,07/16
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"",0,150000,06/17
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CNSP,"",384000,0,06/17
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"WATERWAY BRIDGES",4000,0,07/16
BR-76,841 234,841,BRCR076,"RECON WILLIS AVE HARLEM RV 2-24005-9",CONS,"WATERWAY BRIDGES",0,4084000,06/18
BR-156,841 201,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",1000000,0,06/17
BR-156,841 201,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"",30500000,0,06/17
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",CONS,"GENERAL",82309000,2690000,06/18
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",CONS,"TRACKS AND RAILS",5714000,0,06/18
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",DSGN,"",232000,0,06/17
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",CNSP,"",3656000,0,06/18
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",IFDS,"",208000,0,06/17
BR-156,841 201,841,BRC156F,"MANHATTAN BRIDGE #15",IFDS,"",600000,0,06/17
BR-156,841 201,841,BRC156R,"MANHATTAN BRIDGE #14 (CABLE RE-WRAPPING & SUSPENDER)",IFSP,"",438000,0,06/17
BR-231,841 203,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",643000,0,06/17
BR-231,841 203,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"",60000000,0,06/17
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",CONS,"GENERAL",303478000,0,06/18
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",CTGY,"",0,21600000,06/17
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",CNSP,"CONSULTANT SUPERVISION OF",11003000,0,06/18
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",DSGN,"",643000,0,07/16
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",DSGN,"",15817000,0,06/18
BR-231,841 203,841,BRC231F,"QUEENSBORO BRIDGE #10 OVER EAST RIVER",IFDS,"",500000,0,06/17
BR-253,841 204,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",1501000,0,06/17
BR-253,841 204,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"",10000000,0,06/17
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CONS,"",250000000,0,06/21
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",DSGN,"",25000000,0,06/18
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CNSP,"",25000000,0,06/21
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CONS,"TRACKS AND RAILS",3000000,0,06/18
BR-253,841 204,841,BRC253D,"WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20",CONS,"TRACKS AND RAILS",5000000,0,06/21
BR-270,841 208,841,BRCHAZMIG,"HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE)",CONS,"GENERAL",13000000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CNSP,"",4582000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CONS,"WATERWAY BRIDGES",34630000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",SVCS,"",3700000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CONS,"",13000000,0,06/17
BR-270,841 208,841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",CONS,"",4630000,0,06/17
BR-270,841 208,841,BRC270D,"BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19",CONS,"",250000000,0,06/19
BR-270,841 208,841,BRC270D,"BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19",CNSP,"",25000000,0,06/18
BR-270,841 208,841,BRC270D,"BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19",DSGN,"",3190000,0,06/18
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",CONS,"",21109000,0,06/18
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",CNSP,"CONSULTANT SUPERVISION OF",2500000,0,06/17
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",SVCS,"SPECIAL TECHNICAL INVESTI",1400000,0,06/17
BR-270,841 208,841,BRC270FR,"BROOKLYN BRIDGE #6A REPLACE CLADDING",DSGN,"",700000,0,06/17
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",25000000,0,06/22
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",50000000,0,06/23
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",50000000,0,06/24
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",50000000,0,06/25
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",51550000,0,06/26
BR-270,841 208,841,BR10YR15,"Waterway Bridges Ten Year Plan",CONS,"",53148000,0,06/27
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CONS,"",4276000,0,06/17
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CONS,"GENERAL",0,4987000,06/18
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CNSP,"CONSULTANT SUPERVISION OF",261000,0,06/17
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",CNSP,"",931000,0,06/19
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",SVCS,"SPECIAL TECHNICAL INVESTI",447000,0,06/17
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",SVCS,"SPECIAL TECHNICAL INVESTI",1000000,0,06/18
BR-287,841 227,841,BRX287S,"MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA",IFSP,"",625000,0,06/17
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",CONS,"",6897000,0,06/17
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",IFSP,"",30000,0,07/16
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",IFSP,"",30000,0,06/17
C-74,072 219,072,C74SCHOOL,"NEW RNDC SCHOOL ADDITION",CTGY,"",30000,0,06/17
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"PLUMBING",128000,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"",588000,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"",12000,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CONS,"",2000,0,12/16
C-74,072 219,850,C74-SHWR,"ARDC SHOWER RECONSTRUCTION",CNSP,"",104000,0,12/16
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500000,0,06/18
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500000,0,06/19
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",2298000,0,10/16
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500000,0,06/20
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",500000,0,06/21
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",861000,0,06/24
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",1087000,0,07/24
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",1405000,0,07/25
C-75,072 202,072,C-101LRFN,"RIKERS ISLAND FENCING",CONS,"",1861000,0,06/27
C-75,072 202,072,C-101WEST,"RI WEST PERIMETER EXTERIOR FENCING REPLACEMENT",CONS,"",5102000,0,06/17
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",2169000,0,07/16
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",1415000,0,07/17
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",7000000,0,01/19
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",5000000,0,01/20
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",21982000,0,06/21
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",43134000,0,06/22
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",44189000,0,06/23
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",23197000,0,06/24
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",24934000,0,06/25
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",20392000,0,06/26
C-75,072 202,072,C-75MISC,"MISC INFRASTRUCTURE RECON",CONS,"",17009000,0,06/27
C-75,072 202,072,C75-BAKE,"REPLACEMENT OF BAKERY EQUIPMENT FY09/10",EQFN,"",158000,0,07/16
C-75,072 202,072,C75-CHILL,"VCBC CHILLER",CONS,"",75000,0,06/17
C-75,072 202,072,C75-CHILL,"VCBC CHILLER",IFSP,"",20000,0,06/17
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",1000000,0,06/17
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",5500000,0,06/18
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",5000000,0,07/20
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",500000,0,06/19
C-75,072 202,072,C75-ELEV,"ELEVATOR REHAB VARIOUS FACILITIES",CONS,"",1500000,0,07/19
C-75,072 202,072,C75-F&ECR,"F & E PURCHASE FOR CAPACITY REPLACEMENT PROJECTS",EQFN,"",2000000,0,07/18
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CONS,"",1000000,0,01/19
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CONS,"",1000000,0,01/21
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",IFSP,"",50000,0,01/19
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CTGY,"",50000,0,01/19
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",IFSP,"",50000,0,01/21
C-75,072 202,072,C75-GCELL,"GANG CELL DOOR RELEASE",CTGY,"",50000,0,01/21
C-75,072 202,072,C75-ION,"PURCHASE OF ION SCANNERS FOR DRUG INTERDICTION PROGRAM",EQFN,"",300000,0,07/18
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",DSGN,"",500000,0,07/16
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",CONS,"",4725000,0,06/18
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",IFSP,"",450000,0,06/17
C-75,072 202,072,C75-METH,"Methane Detection System Replacement and Central Monitoring",IFSP,"",22000,0,06/18
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CONS,"",3000000,0,07/19
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CONS,"",5000000,0,06/18
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CONS,"",5000000,0,06/21
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",IFSP,"",5000,0,06/18
C-75,072 202,072,C75-PLUMB,"SEWER PUMPS AND PLUMBING VARIOUS FACILITIES",CTGY,"",5000,0,06/17
C-75,072 202,072,C75ADACOM,"ADA COMPLIANCE FOR NIC, CENTRAL VISITS, FACILITY VISIT AREA",DSGN,"",3374000,0,06/17
C-75,072 202,072,C75ADACOM,"ADA COMPLIANCE FOR NIC, CENTRAL VISITS, FACILITY VISIT AREA",CONS,"",30364000,0,06/18
C-75,072 202,072,C75AKATC,"Replacement of Chillers at AMKC Mod 1",CONS,"",3810000,0,06/17
C-75,072 202,072,C75AKATC,"Replacement of Chillers at AMKC Mod 1",IFDS,"",40000,0,07/16
