managingagency,projectid,description,citycost,noncitycost,totalcost
826,DOT-WM-SP,MAIN REPLACEMENTS IN CONNECTION WITH DOT PRIORITY PROJECTS,271373000,0,271373000
826,CAT-178,REPLACEMENT OF DIVIDING WEIR BRIDGE,268500000,0,268500000
826,IN-CITYSE,Agency Proposed Projects,265849000,0,265849000
71,HH-MRBU,MAJOR REPAIRS AND BLD UPGRADES,258722000,0,258722000
841,HWQ100SBS,Woodhaven Blvd SBS,141400000,116752000,258152000
856,SANDESCR,Citywide Resiliency Measures- East Side Coastal Resilienc,252000000,0,252000000
841,HBC1070,BRIDGE PROTECTIVE COATING,248538000,0,248538000
827,S248-423,Bronx 9/10/11 Garage,248119000,0,248119000
40,PLANYC400,PlaNYC 2030 REPLACEMENT FUEL BURNERS IN PUBLIC SCHOOLS,217677000,30077000,247754000
856,PLANYC,Energy Efficiency Projects (PlaNYC),246889000,0,246889000
856,CO-LL5FS,VARIOUS PUBLIC BUILDINGS - COURTS FIRE SUPPRESSION,246881000,0,246881000
111,DP1PROJ1,DOITT'S EDP Projects - Out-Year Planning,245047000,0,245047000
826,HP-238-L,REPLACEMENT OF THE DIGESTER @ THE HUNTS POINT WWTP,238500000,0,238500000
841,HWCW-VZSR,Vision Zero Street Reconstuction,228600000,0,228600000
826,NR-COGEN,NORTH RIVER WWTP COGENERATION AND ELECTRIFICATION,227163000,0,227163000
111,CITYADMIN,Citywide Administrative Systems,225771000,0,225771000
826,SANDWPCPS,RECONS OF WPCPS AND PUMPING STATIONS DUE TO HURRICANE SAND,15296000,204032000,219328000
841,HBM1147,BROADWAY BRIDGE/HARLEM RIVER (BIN 2-24013-7),73087000,139350000,212437000
841,HBR10COMP,TEN YR COMP,209427000,0,209427000
816,HL82VCLIN,EMERGENCY FUNDING FOR VARIOUS CLINICS,208953000,0,208953000
72,C-75MISC,MISC INFRASTRUCTURE RECON,207221000,0,207221000
819,02201322,INTEGRATED CLINICAL INFO SYSTEM (ICIS) PROGRAM: EMR UPGRA,206967000,0,206967000
42,CA091-096,CUNYwide Rehab,205051000,1352000,206403000
801,CONEYWEST,Coney Island West,205300000,0,205300000
806,HAM16FACD,BUILDING FACADES,205000000,0,205000000
826,CAT-OPTIM,To Increase the Capacity of Upper Catskill Aqueduct,203000000,0,203000000
827,S236-335A,MANHATTAN 6/6A/8 GARAGE,200862000,0,200862000
801,SWBXINFRA,Southwest Bronx Infrastructure Improvements,194300000,0,194300000
806,MMI18,Mixed Middle Income M2 FY18,193958000,0,193958000
57,F175FHREN,FIREHOUSE RENOVATIONS,182554000,0,182554000
57,F109-PUM,PUMPERS,179439000,0,179439000
826,EASTSIDRS,EAST SIDE COASTAL RESILIENCY PROJECT AT EAST RIVER PARK,178000000,0,178000000
841,HBM1120B,11TH AVENUE VIADUCT NORTH SECTION - 33 ST to 35 ST #2245010,100984000,76576000,177560000
827,S1292027,EQUIPMENT REPLACEMENT IN FY 2027,175846000,0,175846000
827,S1292025,EQUIPMENT REPLACEMENT FY2025,170931000,0,170931000
827,S1292026,EQUIPMENT REPLACEMENT IN FY 2026,170137000,0,170137000
68,JJCONS,Adolescent Facility,170000000,0,170000000
827,S1292018,Equipment replacement in FY 2018,168030000,0,168030000
841,HW2CR06,CITYWIDE MILLING,166403000,359000,166762000
826,CRO-208B,NEW CROTON DAM RECONSTRUCTION,166200000,0,166200000
827,S1292023,EQUIPMENT REPLACEMENT FY 2023,165113000,0,165113000
827,S1292024,Equipment Replacement in FY 2024,164487000,0,164487000
826,CAT-431,CATSKILL AQUEDUCT RECONST.-KENSICO TO HILVIEW,162301000,0,162301000
801,WATERLUMP,Lump Sum - Waterfront Improvements,161031000,0,161031000
850,SE-823,STRM & COMB SWRS IN 229 ST,160537000,0,160537000
846,P-2GPWB26,GPWB- CitiStorage Acquisition,160451000,0,160451000
827,S1292022,EQUIPMENT REPLACEMENT FY 2022,160365000,0,160365000
827,S1292021,EQUIPMENT REPLACEMENT IN FY 2021,156023000,0,156023000
841,HBM1165,RIVERSIDE DRIVE BR/WEST 158TH 2-24672-0,101093000,54119000,155212000
827,S1292020,EQUIPMENT REPLACEMENT IN FY 2020,153961000,0,153961000
57,SANDCNDIT,HURRICANE SANDY - CONDUIT,15375000,136572000,151947000
850,LNCLPCN13,Midtown Campus Project,151098000,0,151098000
827,S1292019,Equipment Replacement in FY 2019,150792000,0,150792000
819,02201528,EITS: REVENUE CYCLE IMPLEMENTATION,150408000,0,150408000
826,JOC-OUTYR,JOB ORDER CONTRACTING PROGRAM CITYWIDE AT VAR. WPCPS,150000000,0,150000000
801,LIFESCIEN,LIFE SCIENCES HUB,150000000,0,150000000
827,S186-224,BROOKLYN 3 GARAGE,149963000,0,149963000
841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",106648000,40000000,146648000
826,CS-BX-LTP,CITY-WIDE LONG TERM CONTROL PLAN FOR CSO ABATEMENT,146200000,0,146200000
806,ELLA27,Extremely Low & Low Income - ELLA FY27,144809000,0,144809000
826,EE-RRC,TRC - RESIDUAL CHLORINE REDUCTION PROGRAM,144373000,0,144373000
801,BUSHMINY,Bush Terminal - Made in New York Campus,142400000,0,142400000
841,HBBA06672,EAST 174TH ST/SHERIDAN EXPWY AMTRAK BIN# 2066720,141154000,0,141154000
806,ELLA26,Extremely Low & Low Income - ELLA FY26,140455000,0,140455000
806,ELLA19,Extremely Low & Low Income Affordability Program - ELLA FY19,140103000,0,140103000
826,SECURITY,Security Systems Design and Installation,139900000,0,139900000
841,BRC156F,MANHATTAN BRIDGE #15,112346000,26340000,138686000
841,BRKA24039,GRAND STREET/ NEWTON CREEK BIN: 2240390,138500000,0,138500000
850,S234-367A,Staten Island 1 and 3 Garage Construction,138144000,0,138144000
819,SANDDR,HHC Sandy CDBG-DR Match,137000000,0,137000000
806,ELLA25,Extremely Low & Low Income Affordability Program - ELLA FY25,136232000,0,136232000
826,WI-281-L,RECONSTRUCTION OF (39) FINAL TANKS AT WARDS ISLAND,135746000,0,135746000
841,HBK1201,ATLANTIC AVENUE/LIRR ATLANTIC AVENUE 2-243569,46867000,85851000,132718000
806,PLP24,Participation Loan Program FY24,132332000,0,132332000
801,NRELUMP,Lump Sum - Asset Management,131545000,0,131545000
111,PO163STI2,SUSTAINABLE TECHNOLOGY INITIATIVE 2 (SERVERS & STORAGE),131459000,0,131459000
806,ELLA20,Extremely Low & Low Income Affordability Program - ELLA FY20,130364000,0,130364000
806,PLP23,Participation Loan Program FY23,129736000,0,129736000
850,CJCREN,FACIILITY RENOVATIONS AT CROSSROADS JC,128695000,0,128695000
846,P-6CW933C,PURCHASE OF VEHICLES & EQUIPMENT FOR USE BY DPR,128247000,0,128247000
826,SE-BB2,LAND ACQUISITION in 2nd S.I. Bluebelt Area,127962000,0,127962000
826,CSO-GC,FLUSHING TUNNEL REACTIVATION & GOWANUS CANAL FORCE MAIN,127407000,0,127407000
56,PO79-BMS,BMS PROJECTS,127354000,0,127354000
806,PLP22,Participation Loan Program FY22,127192000,0,127192000
806,MXMT19,Mixed Income Program - Mix & Match FY19,125570000,0,125570000
850,P-415PAS3,FMCP-PASSERELLE BRIDGE - Q099,125113000,0,125113000
806,PLP21,Participation Loan Program FY21,124698000,0,124698000
826,JOC-17-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",121700000,0,121700000
846,SANDYRHMP,SANDY- HMP,0,120518000,120518000
826,CSO-HR-DF,CSO HUTCHINSON RIVER OUTFALL & DISINFECTION,119500000,0,119500000
858,DOITECTP,Emergency Communications Systems & Facilities,119100000,0,119100000
806,ELLA21,Extremely Low & Low Income Affordability Program - ELLA FY21,118857000,0,118857000
806,ELLA22,Extremely Low & Low Income Affordability Program - ELLA FY22,118374000,0,118374000
806,ELLA23,Extremely Low & Low Income Affordability Program - ELLA FY23,116943000,0,116943000
806,ELLA24,Extremely Low & Low Income Affordability Program - ELLA FY24,116854000,0,116854000
826,IN-CITYAC,Agency Proposed Accelerated Projects,114518000,0,114518000
806,EDPC,OUTYEARS COMPUTER LUMP SUM,113651000,0,113651000
806,MXMT18,Mixed Income Program - Mix & Match FY18,113646000,0,113646000
826,UTIUTIL,UTILITY RELOCATION FOR SE AND WM PROJECTS,113154000,0,113154000
57,F109-IE,INITIAL EQUIPMENT FOR EMERGENCY RESPONSE VEHICLES,112703000,0,112703000
841,HBKA24382,21st Ave RR BR & 64th St #2-24382-1/TN35190,110899000,0,110899000
806,ELLA17,Extremely Low & Low Income Affordability Program - ELLA FY,110472000,0,110472000
57,F109-RM,REAR MOUNTS,109198000,0,109198000
57,F175MULTI,MUTIPLE COMPONENT RENOVATIONS,108984000,0,108984000
806,PLP20,Participation Loan Program FY20,106953000,0,106953000
819,02201601,HHC PRIMARY HEALTH CLINICS,106353000,0,106353000
801,SANDYNYA,WCS - New York Aquarium Sandy Renovation,12355000,93273000,105628000
856,TYP-LL5,LOCAL LAW 5 FIRE SUPPRESSION,105481000,0,105481000
826,CAT-252,REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,102924000,0,102924000
801,RAISESHOR,Raise Shorelines,102000000,0,102000000
806,PLP19,Participation Loan Program FY19,101988000,0,101988000
850,CS-ER-WCP,PARALLEL SEWER-REDUCE CSO DISCHARGE FROM PUGSLEY CREEK,101592000,0,101592000
827,S1292017,Equipment Replacement in FY 2017,100246000,0,100246000
841,SEQUEENS,South East Queens Initiative,100123000,0,100123000
801,MANHGREEN,Manhattan Greenway,100000000,0,100000000
38,LBINSPIRE,BPL BRANCH MODERNIZATION PROGRAM,100000000,0,100000000
39,LQRECONS,SYSTEMWIDE - Renovations/New Construction/Expansions,100000000,0,100000000
72,C114ACADY,Construction of a New Training Academy,100000000,0,100000000
801,SANDRDHK,Red Hook HMGP,50000000,50000000,100000000
126,SANDYAQM2,WCS - New York Aquarium (Sandy),10000000,90000000,100000000
846,P-6TREESA,TREES - CITYWIDE,99533000,0,99533000
806,PLP18,PARTICIPATION LOAN PROGRAM FY18,99282000,0,99282000
40,SCA18,SCA18,99203000,0,99203000
826,C519,MODIFICATION OF CHAMBERS AT HILLVIEW,98550000,0,98550000
826,EE-PEDS,PROFESSIONAL ENGINEERING AND DESIGN SERVICES,97279000,0,97279000
850,HWQ1190A,Reconstruction of Queens Blvd Phase 1,77593000,19624000,97217000
826,WI-285-L,RECONSTRUCT BOILER AT WARDS ISLAND WPCP,95800000,0,95800000
850,SE-807,STORM & SAN SEWERS IN 20TH AVE B/T126 ST & US BULKHEAD L,95770000,0,95770000
856,RE25WATR,WATERFRONT RESILIENCY MEASURES,95700000,0,95700000
826,FAD-LAND,FAD - Holding code for Land Acquisition in the West of,95690000,0,95690000
801,BATBEYOND,BAT New Needs,94875000,0,94875000
801,ROCKINFRA,Rockaways Infrastructure Improvements,91000000,0,91000000
826,GI-OTHER,GI - OTHER AGENCY PROJECTS - GREEN INFRASTRUCTURE,90000000,0,90000000
806,LIHTC17,LIHTC Year 15 Preservation Program FY17,89151000,0,89151000
846,P-3HRD155,HARLEM RIVER DRIVE 155TH-DYCKMAN,88246000,0,88246000
841,SLMNTLUMP,CAPITAL COMPONENT STREETLIGHT MAINTENANCE (TEN YR PLAN),216000,88000000,88216000
111,PO46-24O,NYPD EOL CORE RADIO INFRASTRUCTURE UPGRADES,88000000,0,88000000
841,HBM1172,HENRY HUDSON PKWY 72ND ST VIADUCT 2-22928-9,87439000,0,87439000
841,HBM8650,REHAB FDR NORTHBOUND FROM EAST 42-49TH ST BIN: 2268650,86725000,0,86725000
841,HBQ1114,HEMPSTEAD AVE BR/CIP 2231780,50361000,36237000,86598000
856,PW322PLAN,345 ADAMS RESTACKING PLAN,86112000,0,86112000
801,HOMEPORT2,Stapleton Waterfront Phase II & III,82186000,3067000,85253000
856,PW326OEM3,OEM Expansion of Leased Space 930 Flushing Avenue,85000000,0,85000000
826,EE-DSGN,DESIGN & DESIGN SERVICES DURING CONSTRUCTION,84990000,0,84990000
111,PU16APRO1,FISA'S EDP Projects - Outyear Funds,84914000,0,84914000
801,CWFSFERY2,CITYWIDE FERRY SERVICE - NEW VESSEL PURCHASE,84400000,0,84400000
826,WI-279-L,INSTALLATION OF EMERGENCY GENERATORS AT WARDS ISAND WPCP,82000000,0,82000000
850,HWQ1190B,Reconstruction of Queens Blvd Phase 2,52360000,29624000,81984000
841,HBQ49AV,"49TH AVE OVER LIRR, AMT, CON NE (BIN2247290)",81252000,0,81252000
826,SE-889,NEW STRM SWR N. CONDUIT AV -BAISLY BLVD S TO GUY BREWER BLV,81000000,0,81000000
826,JRAQ-REH,JEROME RESERVOIR & AQUEDUCT REHABILITATION,80581000,0,80581000
856,CO264BKCV,210 JORALEMON ST. OCA RELOCATION,80500000,0,80500000
841,HBMF26771,79TH ST TRAFFIC CIRCLE OVER 79TH ST PED PLAZA BIN 2267718,80162000,0,80162000
850,HWCSCH3C,SAFE ROUTES TO SCHOOLS-94 SCHOOLS,77972000,1868000,79840000
841,BUS2030,BUS INITIATIVES,76654000,3047000,79701000
806,SENIOR17,HUD Section 202 Housing - Supplemental Funding,48104000,31396000,79500000
816,HL82ACC,Animal Care Centers,79221000,0,79221000
826,CAT-212,SCHOHARIE RESERVOIR/GILBOA DAM AND INTAKE/OUTLET CHAMBER,78890000,0,78890000
806,PLP27,Participation Loan Program FY27,78065000,0,78065000
826,SE-862,Storm and Sanitary Sewer Replacement and Ext. - 801 HWQ662G,76665000,0,76665000
826,SE-824,South-East Queens Laurelton Area Part 1 Phase B,76008000,0,76008000
846,P-6TREESB,TREES - CITYWIDE,76003000,0,76003000
806,PLP26,Participation Loan Program FY26,75718000,0,75718000
806,MXMT24,Mixed Income Program - Mix & Match FY24,75667000,0,75667000
841,HWRAP07,RAP HAULING,74977000,0,74977000
806,MXMT23,Mixed Income Program - Mix & Match FY23,74254000,0,74254000
846,P-6CPIPH2,Community Parks Initiative (CPI),74044000,0,74044000
856,PW-RLS,RENOVATION OF LEASED SPACE,73979000,0,73979000
846,P-3CENTA,Central Park - Construction for Maintanence & Operation,73592000,0,73592000
850,QED-991,"New WM, trunk main ext, 33 ave & Francis lewis Blvd, Qns",72887000,635000,73522000
806,PLP25,Participation Loan Program FY25,73441000,0,73441000
826,SE-825,South-East Queens Laurelton Area Part 1 Phase C,73285000,0,73285000
846,P-6REQU,REQUIREMENTS - CW,73158000,0,73158000
826,DEPMETERS,WATER METER REPLACEMENTS,73156000,0,73156000
819,SAND11E,BELLEVUE RECONSTRUCTION AS A RESULT OF SANDY - CATEGORY E,0,72003000,72003000
841,HBM1189,WEST 79TH STREET/ AMTRAK (7 BIN#'S),29572000,41956000,71528000
826,PS-276,RECONSTRUCTION AT HANNAH STREET PUMPING STATION (BEDC),71416000,0,71416000
801,PV034SCED,AMNH - Science & Education Innovation Center Bldg. 17,70350000,0,70350000
56,PO002-116,NEW 116TH PCT,70000000,0,70000000
111,BROADBAND,Broadband Initiative,70000000,0,70000000
806,CBXASSOC,Associated Costs - CBX,69912000,0,69912000
841,HBX1190,GRAND CONCOURSE / METRO NORTH RR HUD2-24140-9,69673000,0,69673000
801,ACQFUND,Acquistion Fund,68500000,0,68500000
806,8ALC27,HOUSING REH (HRP) / (formerly 8A) LOAN PROGRAM,68429000,0,68429000
841,HWMWTCB8,Reconstruction of Broadway Phase 2,13532000,54128000,67660000
841,HBQA24750,METROPOLITAN AVE OVER CSX TRANSPORT,67602000,0,67602000
850,SE-810,"STORM & SAN SWR, WILLET PT BLVD WHITESTONE AREA PHASE 2",67275000,0,67275000
806,LIHTC18,LIHTC Year 15 Preservation Program FY18,67205000,0,67205000
827,S136-439,"DSNY FACILITY REHAB, CITYWIDE",67060000,0,67060000
111,PO46-6A,PORT RAD ALL BOROS,66431000,0,66431000
806,8ALC26,HOUSING REHABILITATION (HRP) / (formerly 8A) LOAN PROG,66371000,0,66371000
841,HBQ8019,REHAB WOODHAVEN BLVD BIN 2248019,66077000,0,66077000
826,SF-BNR-CI,STEP FEED BNR AT CONEY ISLAND & ROCKAWAY WPCPs,66063000,0,66063000
72,C138FSPH2,Fire Life Safety Phase II,66047000,0,66047000
826,PS-326,INSTALLATION OF SE JAMAICA PUMPING STATION,66000000,0,66000000
850,PO141-40P,NEW 40TH PRECINCT,65637000,0,65637000
841,HBX156,E 156TH ST BRIDGE OVER ACCESS TO HOUSING (BIN 2270030),65500000,0,65500000
846,P-6CWFALM,NATURE CTRS AND REC CTRS-FIRE ALARMS AND LIFE SAFETY,64927000,0,64927000
850,HBPED800Q,PED BRIDGE - PORPOISE BRIDGE AND TIDE GATE,64851000,0,64851000
846,SANDEASTS,CITY WIDE RESILIENCY MEASURES - EAST SHORE SI COASTAL PROTE,64600000,0,64600000
806,8ALC25,Article 8A Loan Program - FY25,64375000,0,64375000
806,SENIOR19,HUD Section 202 Housing - Supplemental Funding,59259000,5000000,64259000
801,WILLETURA,FA - Willets Point Urban Renewal Area- Subgrade Improvement,62799000,0,62799000
841,HBC13020,Rehab of Parks Bridges Citywide,61489000,0,61489000
850,HWXP136C,Grand Concourse Phase 4,49376000,11867000,61243000
806,SENIOR20,HUD Section 202 Housing - Supplemental Funding,56101000,5000000,61101000
850,SE-812,Sanitary & Storm swr in Page Av b/t Amboy Rd & Estella Pl,60986000,32000,61018000
57,F109-TL75,TOWER LADDERS - 75 FOOT,61009000,0,61009000
841,HBMFDNY20,FDNY/NFPA CODE UPDATE HHP VARIOUS AND PARK AVE TUNNEL,61000000,0,61000000
801,HWQWILLET,Willets Point - Van Wyck Improvements,61000000,0,61000000
846,P-309RVP2,RIVERSIDE PARK 79 ST BOAT BASIN: C DOCK,60938000,0,60938000
841,HWCWREC,CITYWIDE RECONSTRUCTION OF STREETS,60870000,0,60870000
841,BRC270C,"BROOKLYN BR (#6) BK APPR'S, MAIN SPAN & PAINT X751 54 (07)",60770000,0,60770000
841,HW200IFA1,In-House Pedestrian Ramp Rehabilitation - Crews,60530000,0,60530000
56,PO79LOCK,CITYWIDE LOCKER ROOM RENOVATION,59699000,0,59699000
111,PO46-24,REPLACE RADIO SYSTEM,59599000,0,59599000
841,HWTSQI,Public Plaza Improvements,58882000,0,58882000
850,HED-CLUB,CROTON FILTRATION PLANT - DPR CLUBHOUSE TEEBOXES PARKING,58803000,0,58803000
850,SE-811,"STORM & SAN SWR, N.B. WHITESTONE EXPWY SERV RD PHASE 3",58642000,0,58642000
801,BNYINF-WF,BNYDC Infrastructure Waterfront,58357000,0,58357000
826,WEC-LGE16,"LARGE WATER METER PURCHASES, REPLACEMENTS AND INSTALLATIO",58244000,0,58244000
801,HUNTMEAT2,Hunts Point Meat Market 2,58232000,0,58232000
846,P-301WHAR,BATTERY WHARF,57858000,0,57858000
841,HBK530,PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0,57594000,0,57594000
826,HED-545,CROTON FILTRATION PLANT,57550000,0,57550000
801,BNYINF-BD,BNYDC Infrastructure Building Rehab,57472000,0,57472000
850,QED-976,TRUNK MAIN IN FRANCIS LEWIS BLVD - 90 AV TO 99 AV,57250000,170000,57420000
826,HP-237-L,INSTALLATION OF CENTRIFUGES AT HUNTS POINT WPCP,57398000,0,57398000
826,WI-292-L,RECONSTRUCTION OF POWER DISTRIBUTION @ THE WARDS ISLAND WWT,57298000,0,57298000
841,HWK1669A,4th Ave Safety Improvements - Phase 2,52557000,4500000,57057000
826,PR-135-L,RECONSTRUCT POWER DISTRIBUTION EQUIPMENT @ PORT RICHMOND,57000000,0,57000000
806,MXMT20,Mixed Income Program - Mix & Match FY20,55862000,0,55862000
826,SE-860,"Combined Swr Replac & WM work 71st, QNS",55646000,0,55646000
850,HH112BLRR,BELLEVUE ROOF/ FACADE,55646000,0,55646000
801,SSYARDS,Sunnyside Yards,55000000,0,55000000
841,HBX1127,RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY 2-07584-9,54794000,0,54794000
850,HWX710A,PELHAM PKWY-WEST & EAST AND NORTH & SOUTH BOUNDS (PHASE,54336000,0,54336000
806,MMI24,MIXED MIDDLE INCOME PROGRAM - M2 FY24,54296000,0,54296000
846,P-6CW1250,"BOILERS RECONSTRUCTION,CITYWIDE",54218000,0,54218000
841,HBX1460,WEST TREMONT AVENUE OVER METRO NORTH RR BIN:2241460,54138000,0,54138000
850,SE-853,"HLSS, Strm, San & Comb Swrs, & WM Fresh Creek Basin ,Ph",54027000,0,54027000
850,BED-784,RECON OF WM I& STORM SWR IN BERGEN AVE AREA,53918000,0,53918000
850,SE-842A,"STRM, SAN SWRS & WM IN 225 ST & 149 AV, QNS",53809000,0,53809000
126,PV467-EMR,DCA - EMERGENCY CAPITAL FUND FOR DCA,53502000,0,53502000
850,S216-404A,GANSEVOORT MARINE TRANSFER STATION,53353000,0,53353000
806,MMI23,MIXED MIDDLE INCOME PROGRAM - M2 FY23,53232000,0,53232000
841,HBMA22934,RAMP TO NB HHP OVER AMTRAK WEST SIDE BIN 222934A,53051000,0,53051000
841,FACLUMP,LUMP SUM FOR FACILITIES,52723000,0,52723000
806,ANCP20,AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM - ANCP,52325000,0,52325000
806,MXMT27,MIXED & MATCH PROGRAM FY27,52292000,0,52292000
806,MMI22,MIXED MIDDLE INCOME PROGRAM - M2 FY22,52190000,0,52190000
998,REVRAPD95,RAPID TRANSIT REVOLVING FUND,52000000,0,52000000
826,QED-1040,Select Bus Services Woodhaven Blvd w/HWQ100SBS,51500000,0,51500000
856,SANDCRM,CITY WIDE RESILIENCY MEASURES,51200000,0,51200000
806,MMI21,Mixed Middle Income M2 FY21,51165000,0,51165000
826,TI-STAB,STABILIZATION OF THE TALLMANS' ISLAND WPCP,51163000,0,51163000
850,CONISPH2B,"SAN & STRM SWR, WM1, WM6 IN CONEY ISL AREA, PH 2B",50729000,167000,50896000
846,SANDY6-16,For Flushing Meadow Conduit,5089000,45805000,50894000
806,MXMT26,MIXED & MATCH PROGRAM FY26,50831000,0,50831000
72,SANDSHORE,Hurricane Sandy- RI NShoreline Reconstruct from Storm Damag,4746000,45690000,50436000
806,TPT27,THIRD PARTY TRANSFER PROGRAM FY27,50397000,0,50397000
846,P-206RHBS,Red Hook Track 1/Soccer 3 & Ballfields 1-4,50380000,0,50380000
841,HWQ1190,Reconstruction of Queens Blvd,50346000,0,50346000
841,HBMA24544,WEST 40TH ST / AMTRAK 30ST BRANCH BIN# 2245440,50178000,0,50178000
806,MMI20,Mixed Middle Income M2 FY20,50162000,0,50162000
850,SE-855,"HLSS, Strm, San & Comb Swrs, & WM Fresh Creek Basin ,Ph 2B",50037000,43000,50080000
841,HWCSCH4D,Safe Routes to Schools - Phase 4D,50006000,0,50006000
846,P-5SIPOOL,Staten Island Indoor Pool,50000000,0,50000000
57,F1RADIO15,RADIOS,50000000,0,50000000
826,JOC-BWS,BWS JOC Contracts (E-O-H & W-O-H),50000000,0,50000000
826,JOC-15BWS,Facilities Improvement Program,49960000,0,49960000
